show_id,title,recommended_animes
n-s1,Dick Johnson Is Dead,"['s.CRY.ed', 'Mobile Suit Gundam SEED C.E.73: Stargazer', 'HeatGuy J Special', 'Aria The Animation', 'Rockman.EXE Beast']"
n-s2,Blood & Water,"['Sky Girls', 'Arashi no Yoru ni', 'Digimon Savers', 'Hachimitsu to Clover Specials', 'Bamboo Blade']"
n-s3,Ganglands,"['Bleach', 'Aa! Megami-sama!: Sorezore no Tsubasa Specials', 'Lodoss-tou Senki', 'Akachan to Boku', 'Detective Conan Movie 10: Requiem of the Detectives']"
n-s4,Jailbirds New Orleans,"['Minky Momo in Yume ni Kakeru Hashi', 'Kimi ga Aruji de Shitsuji ga Ore de', 'Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka', 'Code Geass: Hangyaku no Lelouch Recaps', 'Uchuu Kaizoku Captain Herlock']"
n-s5,Kota Factory,"['Doraemon Movie 23: Nobita to Robot Kingdom', 'Ojamajo Doremi Sharp', 'Taiho Shichau zo Special', 'Loveless', 'Shuffle!']"
n-s6,Midnight Mass,"['Fuujin Monogatari', 'Hello! Sandybell', 'Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi', 'Eikoku Koi Monogatari Emma: Molders-hen', 'Mashin Eiyuuden Wataru']"
n-s7,My Little Pony: A New Generation,"['Gun x Sword', 'Gake no Ue no Ponyo', 'Soukyuu no Fafner: Dead Aggressor', 'Ihatov Gensou: Kenji no Haru', 'Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou']"
n-s8,Sankofa,"['Ojamajo Doremi Sharp Movie', 'Pokemon Advanced Generation', 'Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture', 'Code Geass: Hangyaku no Lelouch Recaps', 'Memories']"
n-s9,The Great British Baking Show,"['Stratos 4 Advance Kanketsu-hen', 'Tenshi na Konamaiki', 'Mahoujin Guruguru', 'Glass no Kamen (2005)', 'Ochame na Futago: Claire Gakuin Monogatari']"
n-s10,The Starling,"['Doraemon Movie 02: Nobita no Uchuu Kaitakushi', 'Touch: Cross Road - Kaze no Yukue', 'Aria The Animation', 'Digimon Tamers: Bousou Digimon Tokkyuu', 'Fushigiboshi no☆Futagohime']"
n-s11,"Vendetta: Truth, Lies and The Mafia","['Boku no Chikyuu wo Mamotte', 'MÄR', 'Bishoujo Senshi Sailor Moon S', 'Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'Shoujo Kakumei Utena: Adolescence Mokushiroku']"
n-s12,Bangkok Breaking,"['Seikai no Senki III', 'Neko no Ongaeshi', 'Bakumatsu Kikansetsu Irohanihoheto', 'Chicchana Yukitsukai Sugar Specials', 'Zero no Tsukaima']"
n-s13,Je Suis Karl,"['Minami-ke', 'Witch Hunter Robin', 'Time Travel Tondekeman!', 'Akazukin Chacha OVA', 'Usavich II']"
n-s14,Confessions of an Invisible Girl,"['Kurau Phantom Memory', 'Stop!! Hibari-kun!', 'Hajime no Ippo: Champion Road', 'Kyoushoku Soukou Guyver II', 'Zoids Genesis']"
n-s15,Crime Stories: India Detectives,"['Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Doraemon Movie 17: Nobita to Ginga Express', 'Ai Yori Aoshi', 'Mobile Suit Gundam SEED Destiny', 'Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari']"
n-s16,Dear White People,"['Shinreigari', 'Taiho Shichau zo Special', 'Space Adventure Cobra', 'Ojamajo Doremi Sharp', 'Spiral: Suiri no Kizuna']"
n-s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"['Detective Conan Movie 01: The Timed Skyscraper', 'After War Gundam X', 'Kanon', 'Tenchi Muyou! Ryououki 2nd Season', 'Cyborg 009: The Cyborg Soldier']"
n-s18,Falsa identidad,"['Magic Knight Rayearth II', 'Daicon Opening Animations', 'Mobile Suit Gundam Wing', 'Detective Conan Movie 06: The Phantom of Baker Street', 'Nasu: Andalusia no Natsu']"
n-s19,Intrusion,"['Touch: Cross Road - Kaze no Yukue', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Gedo Senki', 'Kure-nai']"
n-s20,Jaguar,"['Usavich II', 'Mobile Fighter G Gundam', 'Lupin III: Part III', 'Masuda Kousuke Gekijou Gag Manga Biyori 2', 'Tenjou Tenge: The Past Chapter']"
n-s21,Monsters Inside: The 24 Faces of Billy Milligan,"['Ultra Maniac', 'Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'Aishiteruze Baby★★', 'Legend of Basara', 'Shinreigari']"
n-s22,Resurrection: Ertugrul,"['Kaze no Youjinbou', 'Oseam', 'Shin Getter Robo tai Neo Getter Robo', 'Manie-Manie: Meikyuu Monogatari', 'Black Jack']"
n-s23,Avvai Shanmughi,"['JoJo no Kimyou na Bouken: Adventure', 'Hatenkou Yuugi', 'Kimi ga Nozomu Eien', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials']"
n-s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,"['Kurau Phantom Memory', 'Hajime no Ippo: Champion Road', 'Doraemon Movie 11: Nobita to Animal Planet', 'Ihatov Gensou: Kenji no Haru', 'Fuyu no Semi']"
n-s25,Jeans,"['Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'JoJo no Kimyou na Bouken: Adventure', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'D.C.II S.S.: Da Capo II Second Season']"
n-s26,Love on the Spectrum,"['School Rumble: Ichi Gakki Hoshuu', 'Heppoko Jikken Animation Excel♥Saga', 'Doraemon Movie 05: Nobita no Makai Daibouken', 'Speed Grapher', 'Hanbun no Tsuki ga Noboru Sora']"
n-s27,Minsara Kanavu,"['Pokemon Movie 04: Celebi Toki wo Koeta Deai', 'Kure-nai', 'Digimon Adventure: Bokura no War Game!', 'Heppoko Jikken Animation Excel♥Saga', 'Aria The Animation']"
n-s28,Grown Ups,"['Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi', 'Tonari no Totoro', 'Koi Kaze', 'Yawara!', 'Sousei no Aquarion']"
n-s29,Dark Skies,"['Lodoss-tou Senki', 'Bokura no', 'Code Geass: Hangyaku no Lelouch Recaps', 'Gakuen Alice', 'Initial D Extra Stage']"
n-s30,Paranoia,"['Chicchana Yukitsukai Sugar Specials', 'Gaiking: Legend of Daiku-Maryu', 'Dragon Quest: Abel Yuusha Densetsu', 'Hikaru no Go: New Year Special', 'Detective Conan Movie 10: Requiem of the Detectives']"
n-s31,Ankahi Kahaniya,"['Inukami!', 'One Piece: Straw Hat Theater', 'Maria-sama ga Miteru: Haru', 'Tales of Symphonia The Animation: Sylvarant-hen', 'Musekinin Kanchou Tylor']"
n-s32,Chicago Party Aunt,"['Elf wo Karu Mono-tachi', 'Nanatsu no Umi no Tico', 'Arashi no Yoru ni', 'Kurau Phantom Memory', 'Majin Tantei Nougami Neuro']"
n-s33,Sex Education,"['Konjiki no Gash Bell!!: 101 Banme no Mamono', 'Genshiken', 'Seirei no Moribito', 'Elf wo Karu Mono-tachi', 'Kiba']"
n-s34,Squid Game,"['Vandread', 'Simoun', 'Tonari no Totoro', 'Chobits: Chibits', 'Koisuru Tenshi Angelique: Kagayaki no Ashita']"
n-s35,Tayo and Little Wizards,"['Shaman King', 'Galaxy Angel 3', 'Metropolis', 'Legendz: Yomigaeru Ryuuou Densetsu', 'Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!']"
n-s36,The Father Who Moves Mountains,"['Uchuu Senkan Yamato 2', 'Onmyou Taisenki', 'Akazukin Chacha', 'Koukaku Kidoutai 2: Innocence', 'Yomigaeru Sora: Rescue Wings - Saigo no Shigoto']"
n-s37,The Stronghold,"['Boku no Chikyuu wo Mamotte', 'Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Legend of Basara', 'Usavich II']"
n-s38,Angry Birds,"['Shijou Saikyou no Deshi Kenichi', 'Doraemon Movie 02: Nobita no Uchuu Kaitakushi', 'Touch: Cross Road - Kaze no Yukue', 'Detective Conan Movie 10: Requiem of the Detectives', 'Ojamajo Doremi Na-i-sho']"
n-s39,Birth of the Dragon,"['Doraemon Movie 10: Nobita no Nippon Tanjou', 'Yuusha-Ou GaoGaiGar Final', 'Wangan Midnight', 'Seikai no Senki', 'Space Adventure Cobra']"
n-s40,Chhota Bheem,"['Shippuu! Iron Leaguer', 'Masuda Kousuke Gekijou Gag Manga Biyori', 'Kaze no Youjinbou', 'Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari', 'Shin Captain Tsubasa']"
n-s41,He-Man and the Masters of the Universe,"['Wagaya no Oinari-sama.', 'Saber Marionette J', 'Urusei Yatsura OVA', 'Gake no Ue no Ponyo', 'Haha wo Tazunete Sanzenri']"
n-s42,Jaws,"['Shijou Saikyou no Deshi Kenichi', 'Kidou Keisatsu Patlabor the Movie', 'Koukyoushihen Eureka Seven', 'Akazukin Chacha OVA', 'Potemayo Specials']"
