show_id,listed_in,Comedy,Drama,International,Action,Suspense,Documentary,Fantasy,Kids,Special Interest,Science Fiction,Adventure,Horror,Sports,Talk Show and Variety,Anime,Arts,Entertainment,and Culture,TV Shows,Animation,Music Videos and Concerts,Fitness,Faith and Spirituality,Military and War,Western,LGBTQ,Romance,Unscripted,Young Adult Audience,Arthouse,Historical
a-s1,"Comedy, Drama",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s2,"Drama, International",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s3,"Action, Drama, Suspense",,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s4,Documentary,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
a-s5,"Drama, Fantasy",,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
a-s6,"Fantasy, Kids",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
a-s7,"Documentary, Special Interest",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
a-s8,Comedy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s9,"Action, Science Fiction, Suspense",,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
a-s10,Drama,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s11,"Adventure, Kids",,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
a-s12,Comedy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s13,"Horror, Suspense",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
a-s14,"Documentary, Sports",,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
a-s15,Documentary,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
a-s16,"Comedy, Drama",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s17,"Horror, Science Fiction",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
a-s18,"Kids, Special Interest",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
a-s19,"Comedy, Talk Show and Variety",1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
a-s20,Science Fiction,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
a-s21,Kids,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
a-s22,"Action, Anime, Comedy",1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
a-s23,"Arts, Entertainment, and Culture, Comedy, Drama",1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
a-s24,TV Shows,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
a-s25,Drama,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s26,Documentary,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
a-s27,TV Shows,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
a-s28,"Comedy, Drama",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s29,"Animation, Anime, Fantasy",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,
a-s32,TV Shows,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
a-s33,Drama,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s34,Music Videos and Concerts,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
a-s35,Music Videos and Concerts,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
a-s36,"Drama, Suspense",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s37,Drama,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s38,"Comedy, Drama",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-s39,"Fitness, Special Interest",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
a-s40,"Faith and Spirituality, Special Interest",,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
a-s41,"Fitness, Special Interest",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
a-s42,Special Interest,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
a-s43,Fitness,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
a-s44,"Fitness, Special Interest",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
a-s45,"Fitness, Special Interest",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
a-s46,"Fitness, Special Interest",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
a-s47,Special Interest,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
a-s48,"Fitness, Special Interest",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
