show_id,listed_in,Comedy,Stand Up,Crime,Drama,Thriller,Action,Horror,Fantasy,Family,Kids,Cooking & Food,Documentaries,Lifestyle & Culture,Music,News,Reality,Sports,History,Teen,Black Stories,Romance,Mystery,Latino,Adventure,Anime,Late Night,Sketch Comedy,Classics,LGBTQ+,Adult Animation,Sitcom,Health & Wellness,International,Game Shows,Cartoons,Science & Technology
h-s1,"Comedy, Stand Up",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s2,"Crime, Drama, Thriller",,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s3,"Action, Thriller",,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s4,Horror,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s5,"Science Fiction, Thriller",,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s6,"Family, Kids",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s7,"Horror, Thriller",,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s8,"Cooking & Food, Documentaries, Lifestyle & Culture",,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
h-s9,"Drama, Music",,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
h-s11,"Music, News",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
h-s12,"Comedy, Drama",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s13,News,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
h-s15,Reality,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
h-s16,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s17,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s19,"History, Reality",,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
h-s20,"Documentaries, Reality, Teen",,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,
h-s21,Thriller,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s23,"Black Stories, Reality",,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
h-s24,"Documentaries, Reality, Romance",,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,
h-s25,"Documentaries, Drama, Mystery",,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
h-s26,Reality,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
h-s27,Thriller,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s28,"Documentaries, Reality",,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
h-s30,"Latino, Reality",,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
h-s31,"Latino, Reality",,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
h-s32,Horror,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s33,"Latino, Mystery, Science Fiction",,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
