,show_id,listed_in,Documentaries,International TV Shows,TV Dramas,TV Mysteries,Crime TV Shows,TV Action & Adventure,Docuseries,Reality TV,Romantic TV Shows,TV Comedies,TV Horror,Children & Family Movies,Dramas,Independent Movies,International Movies,British TV Shows,Comedies,Spanish-Language TV Shows,Thrillers,Romantic Movies,Music & Musicals,Horror Movies,Sci-Fi & Fantasy,TV Thrillers,Kids TV,Action & Adventure,TV Sci-Fi & Fantasy,Classic Movies,Anime Features,Sports Movies,Anime Series,Korean TV Shows,Science & Nature TV,Teen TV Shows,Cult Movies,TV Shows,Faith & Spirituality,LGBTQ Movies,Stand-Up Comedy,Movies,Stand-Up Comedy & Talk Shows,Classic & Cult TV
0,s1,Documentaries,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s2,"International TV Shows, TV Dramas, TV Mysteries",,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s3,"Crime TV Shows, International TV Shows, TV Action & Adventure",,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,s4,"Docuseries, Reality TV",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,s5,"International TV Shows, Romantic TV Shows, TV Comedies",,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s6,"TV Dramas, TV Horror, TV Mysteries",,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,s7,Children & Family Movies,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,s8,"Dramas, Independent Movies, International Movies",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,s9,"British TV Shows, Reality TV",,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,s10,"Comedies, Dramas",,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,s11,"Crime TV Shows, Docuseries, International TV Shows",,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,s12,"Crime TV Shows, International TV Shows, TV Action & Adventure",,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,s13,"Dramas, International Movies",,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s14,"Children & Family Movies, Comedies",,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,s15,"British TV Shows, Crime TV Shows, Docuseries",,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,s16,"TV Comedies, TV Dramas",,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,s17,"Documentaries, International Movies",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,s18,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
18,s19,Thrillers,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
19,s20,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
20,s21,"Crime TV Shows, Docuseries, International TV Shows",,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s22,"International TV Shows, TV Action & Adventure, TV Dramas",,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,s23,"Comedies, International Movies",,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
23,s24,Children & Family Movies,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,s25,"Comedies, International Movies, Romantic Movies",,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
25,s26,"Docuseries, International TV Shows, Reality TV",,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,s27,"Comedies, International Movies, Music & Musicals",,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
27,s28,Comedies,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,s29,"Horror Movies, Sci-Fi & Fantasy",,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
29,s30,Thrillers,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
30,s31,"Dramas, Independent Movies, International Movies",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,s32,TV Comedies,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,s33,"British TV Shows, International TV Shows, TV Comedies",,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
33,s34,"International TV Shows, TV Dramas, TV Thrillers",,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
34,s35,Kids' TV,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
35,s36,"Dramas, International Movies, Thrillers",,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
36,s37,"Action & Adventure, Dramas, International Movies",,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
37,s38,"Kids' TV, TV Comedies",,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
38,s39,"Action & Adventure, Dramas",,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
39,s40,Kids' TV,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40,s41,"Kids' TV, TV Sci-Fi & Fantasy",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
41,s42,"Action & Adventure, Classic Movies, Dramas",,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
42,s43,"Dramas, Horror Movies, Thrillers",,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
43,s44,"Action & Adventure, Horror Movies, Thrillers",,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,
44,s45,"Action & Adventure, Horror Movies, Thrillers",,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,
45,s46,Documentaries,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s47,Action & Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
47,s48,"International TV Shows, Romantic TV Shows, TV Comedies",,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,s49,"Dramas, Thrillers",,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
49,s50,"International TV Shows, TV Dramas",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,s51,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
51,s52,"Action & Adventure, Anime Features, International Movies",,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
